,sub_name,obj_name,sentence,probability
0,Dany Saval,French,"Dany Saval (born Danielle Nadine Suzanne Savalle on January 5, 1942 in Paris, France) is a former French actress.",0.9416246869120611
1,Rick Brewer,Stanley,"Rick Brewer (born in Stanley, New Brunswick) is a New Brunswick businessman and politician, and a former assistant pastor.",0.8749035588037195
2,Stanley,New Brunswick,"Rick Brewer (born in Stanley, New Brunswick) is a New Brunswick businessman and politician, and a former assistant pastor.",0.8516115761379246
4,archaeology,England,"Kenneth Anderson Kitchen (born in 1932 in Aberdeen, Scotland) is Personal and Brunner Professor Emeritus of Egyptology and Honorary Research Fellow at the School of Archaeology, Classics and Egyptology, University of Liverpool, England.",0.926086611889171
5,Tallinn,Estonian,Vitali Teleš (born 17 October 1983 in Tallinn) is an Estonian footballer who plays for Estonian club JK Nõmme Kalju as a goalkeeper.,0.9336809589069912
7,German Empire,German,"Adolf ""Adi"" Dassler (born 3 November 1900 in Herzogenaurach, Kingdom of Bavaria, German Empire; died 6 September 1978 in Herzogenaurach, West Germany) was the founder of the German sportswear company Adidas and the younger brother of Rudolf Dassler, founder of Puma.",0.8895204581775736
8,Lee Wilkie,Dundee Football Club,Lee Wilkie (born 20 April 1980 in Dundee) is a former Scotland international footballer who played as a central defender.,0.9413296777078609
9,Catholic bishop,Evansville,"Francis Raymond Shea served as the third Roman Catholic Bishop of Evansville, Indiana from 1969 to 1989.",0.8591799878109095
10,Bursa,Turkish,"Olgun Şimşek (born 1971 in Yenice, Bursa) is a Turkish actor

Biography.",0.9368767917203458
11,Narada,Bristol,Narada Michael Bernard (born 30 November 1981 in Bristol) is an Jamaican-English football left-back.,0.9612085488310607
12,Ranmore Martinesz,Sri Lanka,Ranmore Etholson John Martinesz (born 24 June 1967 in Colombo) is a Sri Lankan umpire and a former first-class cricketer.,0.9226698084279085
13,Mary Kenny,Irish people,"Mary Kenny (born 4 April 1944, Dublin, Ireland) is an Irish author, broadcaster, playwright and journalist.",0.9184118041920026
14,Greek,Athens,"Nikolaos Argyriou (Greek: Νικόλαος Αργυρίου) (born 4 April 1994 in Athens, Greece) is a Greek footballer who plays for Episkopi in the Football League, as a Defender.",0.932172081755871
